"","id","long","lat","comp","shrubland","treecover","barren","dry2018","dry1980","frost2018","frost1980","summerT2018","summerT1980"
"2263","-110.005 37.62657",-110.005,37.62657,"-110.005 37.62657",37,23,47,73,79,69,74,24.31141,23.06576
"2302","-110.0046 37.57034",-110.0046,37.57034,"-110.0046 37.57034",75,9,30,0,0,72,77,24.33587,23.03804
"2341","-110.0033 37.59806",-110.0033,37.59806,"-110.0033 37.59806",41,22,50,0,0,69,74,24.31141,23.06576
"2380","-110.0033 37.61707",-110.0033,37.61707,"-110.0033 37.61707",63,25,27,0,0,69,74,24.31141,23.06576
"2419","-110.0029 37.62156",-110.0029,37.62156,"-110.0029 37.62156",12,0,84,0,0,69,74,24.31141,23.06576
"2458","-110.0022 37.57324",-110.0022,37.57324,"-110.0022 37.57324",35,19,54,0,0,72,77,24.33587,23.03804
"2497","-110.0022 37.5846",-110.0022,37.5846,"-110.0022 37.5846",5,0,94,0,0,72,77,24.33587,23.03804
"2536","-110.0022 37.60915",-110.0022,37.60915,"-110.0022 37.60915",4,0,91,0,0,69,74,24.31141,23.06576
"2575","-110.0019 37.57879",-110.0019,37.57879,"-110.0019 37.57879",25,13,61,0,0,72,77,24.33587,23.03804
"2614","-110.0016 37.59146",-110.0016,37.59146,"-110.0016 37.59146",41,22,47,0,0,69,74,24.31141,23.06576
"2653","-110.0016 37.61654",-110.0016,37.61654,"-110.0016 37.61654",51,11,37,0,0,69,74,24.31141,23.06576
"2692","-110.0012 37.61733",-110.0012,37.61733,"-110.0012 37.61733",58,0,33,0,0,69,74,24.31141,23.06576
"2731","-110.0005 37.61892",-110.0005,37.61892,"-110.0005 37.61892",40,0,52,0,0,69,74,24.31141,23.06576
"2770","-109.9998 37.58565",-109.9998,37.58565,"-109.9998 37.58565",29,0,61,0,0,72,77,24.33587,23.03804
"2809","-109.9988 37.62393",-109.9988,37.62393,"-109.9988 37.62393",19,0,82,0,0,69,74,24.31141,23.06576
"2848","-109.9978 37.58988",-109.9978,37.58988,"-109.9978 37.58988",16,7,85,76,83,69,74,24.31141,23.06576
"2887","-109.9974 37.6044",-109.9974,37.6044,"-109.9974 37.6044",33,6,51,0,0,69,74,24.31141,23.06576
"2926","-109.9971 37.61997",-109.9971,37.61997,"-109.9971 37.61997",68,13,27,0,0,69,74,24.31141,23.06576
"2965","-109.995 37.59727",-109.995,37.59727,"-109.995 37.59727",32,19,64,73,78,72,79,23.63913,22.5163
"3004","-109.994 37.62499",-109.994,37.62499,"-109.994 37.62499",5,0,92,0,0,72,79,23.63913,22.5163
"3043","-109.9933 37.6102",-109.9933,37.6102,"-109.9933 37.6102",38,18,53,0,0,72,79,23.63913,22.5163
"3082","-109.993 37.5941",-109.993,37.5941,"-109.993 37.5941",23,0,75,72,80,72,79,23.63913,22.5163
"3121","-109.993 37.61865",-109.993,37.61865,"-109.993 37.61865",53,19,34,0,0,72,79,23.63913,22.5163
"3160","-109.9926 37.62684",-109.9926,37.62684,"-109.9926 37.62684",26,5,85,0,0,72,79,23.63913,22.5163
"3199","-109.9916 37.63212",-109.9916,37.63212,"-109.9916 37.63212",17,0,78,47,6,72,84,22.7337,21.59783
"3238","-109.9913 37.62578",-109.9913,37.62578,"-109.9913 37.62578",54,0,34,0,0,72,79,23.63913,22.5163
"3277","-109.9909 37.59278",-109.9909,37.59278,"-109.9909 37.59278",38,9,54,0,0,72,79,23.63913,22.5163
"3316","-109.9882 37.62736",-109.9882,37.62736,"-109.9882 37.62736",62,27,26,0,0,72,79,23.63913,22.5163
"3355","-109.9878 37.62235",-109.9878,37.62235,"-109.9878 37.62235",44,23,48,72,60,72,79,23.63913,22.5163
"3394","-109.9858 37.62156",-109.9858,37.62156,"-109.9858 37.62156",38,20,49,72,24,72,79,23.63913,22.5163
"3433","-109.9837 37.62763",-109.9837,37.62763,"-109.9837 37.62763",39,0,43,71,45,72,79,23.63913,22.5163
"3472","-109.983 37.62974",-109.983,37.62974,"-109.983 37.62974",20,6,77,45,0,72,84,22.7337,21.59783
"3511","-109.9823 37.62816",-109.9823,37.62816,"-109.9823 37.62816",60,0,30,0,0,72,79,23.63913,22.5163
"3550","-109.9803 37.6139",-109.9803,37.6139,"-109.9803 37.6139",33,19,51,0,0,72,79,23.63913,22.5163
"3589","-109.9799 37.62868",-109.9799,37.62868,"-109.9799 37.62868",55,0,32,0,0,72,79,23.63913,22.5163
"3628","-109.9786 37.60308",-109.9786,37.60308,"-109.9786 37.60308",46,24,41,72,0,72,79,23.63913,22.5163
"3667","-109.9786 37.63027",-109.9786,37.63027,"-109.9786 37.63027",67,0,32,39,0,72,84,22.7337,21.59783
"3706","-109.9782 37.62921",-109.9782,37.62921,"-109.9782 37.62921",35,9,67,0,0,72,84,22.7337,21.59783
"3745","-109.9775 37.63344",-109.9775,37.63344,"-109.9775 37.63344",40,14,53,0,0,72,84,22.7337,21.59783
"3784","-109.9762 37.62789",-109.9762,37.62789,"-109.9762 37.62789",53,11,42,0,0,72,79,23.63913,22.5163
"3823","-109.9758 37.59912",-109.9758,37.59912,"-109.9758 37.59912",19,0,71,46,0,72,79,23.63913,22.5163
"3862","-109.9758 37.60862",-109.9758,37.60862,"-109.9758 37.60862",36,24,52,65,0,72,79,23.63913,22.5163
"3901","-109.9758 37.62684",-109.9758,37.62684,"-109.9758 37.62684",59,10,30,63,41,72,79,23.63913,22.5163
"3940","-109.9734 37.61522",-109.9734,37.61522,"-109.9734 37.61522",44,21,47,0,0,72,79,23.63913,22.5163
"3979","-109.9731 37.6308",-109.9731,37.6308,"-109.9731 37.6308",71,29,11,0,0,72,84,22.7337,21.59783
"4018","-109.9714 37.63476",-109.9714,37.63476,"-109.9714 37.63476",47,9,65,0,0,72,84,22.7337,21.59783
"4057","-109.9693 37.62631",-109.9693,37.62631,"-109.9693 37.62631",51,10,38,0,0,72,79,23.63913,22.5163
"4096","-109.969 37.61284",-109.969,37.61284,"-109.969 37.61284",38,24,51,0,0,72,79,23.63913,22.5163
"4135","-109.9679 37.61654",-109.9679,37.61654,"-109.9679 37.61654",34,7,54,67,0,72,79,23.63913,22.5163
"4174","-109.9679 37.62974",-109.9679,37.62974,"-109.9679 37.62974",62,26,35,0,0,72,84,22.7337,21.59783
"4213","-109.9673 37.62868",-109.9673,37.62868,"-109.9673 37.62868",24,0,54,57,34,72,79,23.63913,22.5163
"4252","-109.9669 37.62446",-109.9669,37.62446,"-109.9669 37.62446",2,0,93,0,0,72,79,23.63913,22.5163
"4291","-109.9662 37.60783",-109.9662,37.60783,"-109.9662 37.60783",40,9,53,0,0,72,79,23.63913,22.5163
"4330","-109.9662 37.63159",-109.9662,37.63159,"-109.9662 37.63159",67,12,29,0,0,72,84,22.7337,21.59783
"4369","-109.9659 37.62525",-109.9659,37.62525,"-109.9659 37.62525",59,18,37,0,0,72,79,23.63913,22.5163
